"","lakeabv","Analysis","Identifier.1","d13C_VPDB","d15N_air","Comment","Area.44","Area.28","run","type","rep","state","planttype","X","Lake","elev_m","maxdepth_m","WatershedAreaTotal_m2","WatershedAreaofupstreamlakes_m2","Lake_Volume_m3","AddtionalUpstreamVolume_m3","PerimeterLength_m","Area_m2","SDI","Area_ha","IlluminatedBottom_morethan1_ha","MostLightLittoral_morethan50_ha","PerLit_1percentlight","PerLit_50percentofLight","X.Littoral.at.15m","Date.Started","Secchi_m","Rainbow.Trout","Brown.Trout","Total.Fish","Overnight","Notes","Set1","Set2","Set.3","Set4","Hours.net.wet","Minutes","Total.minutes","Total.hours..decimal.","CPUE","X.Elevation_m","Repro","Miles.from.Trailhead","Depth_m","USGS_ReconAlpineLakesReport","Bins","AvgDepth_m","Percent_Littoral","EB","CurrentlyStocked","Has.Natural.Repro","Name_2","Name_3","County","Latitude","Longitude","Elevation_ft","Elevation_m","SizeAcres","Hectares_convertion","Depth_ft","Jurisdiction","Wilderness","CID","GeometryID","kd","kd.below1m","kd.2pt","wateradj","onepercent.kd.2pt","fiftypercent.kd.2pt","onepercent.kd.below1m","fiftypercent.kd.below1m","Totm2overTotm3","Subm2overSubm3","ordered.lit","ordered.depth","ordered.elv","ordered.CPUE","tot.biomass","BMPU"
"11","DEN",23627,"PP180_DEN_TLH",-26.86675093654,-2.80000039230712,1.005,417.244,25.363,"PP180","TLH",NA,"living","huckleberry",3,"Denny",1335.024,70.4088,642392,0,1674032.019,0,1000.851076,57585.75637,1.176540796,5.758576,2.33878,0.889803,40.61386009,15.45178878,31.5,"8/8/2018","12.5",19,0,19,1,"","5:20p-1:30p","","","",20,10,1210,20.16666667,0.94214876,1335.024,"NULL",5.5,70.4088,"N",4,NA,"9.02","EB","Yes","NULL","Evelyn","NULL","King",47.42231021,-121.4713952,4380,1335.024,14.3,5.7870098,231,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",90,"L1064",0.196605180295265,0.213337682042557,0.224207151154811,1.327,20.54,3.09,21.59,3.25,0.383739374581222,0.383739374581222,"Denny","Denny","Denny","Denny",328,16.264462807229
"12","ISL",23593,"PP189_ISL_TDH",-30.7727175641447,-3.08610997414696,1.016,430.136,9.694,"PP189","TDH",NA,"duff","huckleberry",4,"Island",1298.448,30.7848,1301600,0,819547.2372,0,1581.182868,74789.21346,1.631013986,7.478921,4.93203,2.070702,65.94574271,27.68717573,60.2,"8/16/2018","10.4",3,0,3,2,"","11:50a-6:30p","6:45p-7:30a","7:30a-6:30p","11:15a-12:20p",54,90,3330,55.5,0.054054054,1298.448,"NULL",5,30.7848,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.42118954,-121.5358972,4260,1298.448,17.78,7.19531708,101,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",95,"L2529",0.27527780262523,0.300588415632478,0.318907041385235,1.494,14.44,2.17,15.32,2.31,1.58819399409721,1.58819399409721,"Island","Island","Island","Island",714.8,12.8792792792793
"13","ISL",23594,"PP188_ISL_TLH",-31.0024712943585,-3.27718315642462,1.007,443.648,11.703,"PP188","TLH",NA,"living","huckleberry",4,"Island",1298.448,30.7848,1301600,0,819547.2372,0,1581.182868,74789.21346,1.631013986,7.478921,4.93203,2.070702,65.94574271,27.68717573,60.2,"8/16/2018","10.4",3,0,3,2,"","11:50a-6:30p","6:45p-7:30a","7:30a-6:30p","11:15a-12:20p",54,90,3330,55.5,0.054054054,1298.448,"NULL",5,30.7848,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.42118954,-121.5358972,4260,1298.448,17.78,7.19531708,101,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",95,"L2529",0.27527780262523,0.300588415632478,0.318907041385235,1.494,14.44,2.17,15.32,2.31,1.58819399409721,1.58819399409721,"Island","Island","Island","Island",714.8,12.8792792792793
"14","ISL",23604,"PP190_ISL_TLE",-28.8317608920417,-8.00099240624187,NA,465.488,9.778,"PP190","TLE","duo","living","conifer",4,"Island",1298.448,30.7848,1301600,0,819547.2372,0,1581.182868,74789.21346,1.631013986,7.478921,4.93203,2.070702,65.94574271,27.68717573,60.2,"8/16/2018","10.4",3,0,3,2,"","11:50a-6:30p","6:45p-7:30a","7:30a-6:30p","11:15a-12:20p",54,90,3330,55.5,0.054054054,1298.448,"NULL",5,30.7848,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.42118954,-121.5358972,4260,1298.448,17.78,7.19531708,101,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",95,"L2529",0.27527780262523,0.300588415632478,0.318907041385235,1.494,14.44,2.17,15.32,2.31,1.58819399409721,1.58819399409721,"Island","Island","Island","Island",714.8,12.8792792792793
"15","ISL",23686,"PP191_ISL_TDE",-29.5743745632387,-4.97454678050254,NA,470.939,11.877,"PP191","TDE","duo","duff","conifer",4,"Island",1298.448,30.7848,1301600,0,819547.2372,0,1581.182868,74789.21346,1.631013986,7.478921,4.93203,2.070702,65.94574271,27.68717573,60.2,"8/16/2018","10.4",3,0,3,2,"","11:50a-6:30p","6:45p-7:30a","7:30a-6:30p","11:15a-12:20p",54,90,3330,55.5,0.054054054,1298.448,"NULL",5,30.7848,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.42118954,-121.5358972,4260,1298.448,17.78,7.19531708,101,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",95,"L2529",0.27527780262523,0.300588415632478,0.318907041385235,1.494,14.44,2.17,15.32,2.31,1.58819399409721,1.58819399409721,"Island","Island","Island","Island",714.8,12.8792792792793
"16","KKL",23677,"PP186_KKL_TLE",-30.5139767270599,-8.83962328085981,NA,452.997,10.469,"PP186","TLE","duo","living","conifer",5,"Kulla Kulla",1147.572,64.008,1390820,0,6195620.368,0,2158.049844,233661.9462,1.259396681,23.366195,9.653675,3.308035,41.31470699,14.15735425,35.6,"8/19/2018","9.4",12,0,12,1,"","11:07a-6:35p","6:35p-12:30p","","",25,23,1523,25.38333333,0.472751149,1147.572,"NULL",5,64.008,"YES",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.432065,-121.549001,3765,1147.572,59.53,24.09095758,210,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",136,"L2718",0.269936236969826,0.258168239608622,0.274477486063991,NA,16.78,2.53,17.84,2.68,0.22448438048004,0.22448438048004,"Kulla Kulla","Kulla Kulla","Kulla Kulla","Kulla Kulla",1083.3,42.6776099859065
"17","KKL",23599,"PP185_KKL_TDH",-32.1689061232639,-5.4400115338293,1.001,432.649,8.383,"PP185","TDH",NA,"duff","huckleberry",5,"Kulla Kulla",1147.572,64.008,1390820,0,6195620.368,0,2158.049844,233661.9462,1.259396681,23.366195,9.653675,3.308035,41.31470699,14.15735425,35.6,"8/19/2018","9.4",12,0,12,1,"","11:07a-6:35p","6:35p-12:30p","","",25,23,1523,25.38333333,0.472751149,1147.572,"NULL",5,64.008,"YES",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.432065,-121.549001,3765,1147.572,59.53,24.09095758,210,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",136,"L2718",0.269936236969826,0.258168239608622,0.274477486063991,NA,16.78,2.53,17.84,2.68,0.22448438048004,0.22448438048004,"Kulla Kulla","Kulla Kulla","Kulla Kulla","Kulla Kulla",1083.3,42.6776099859065
"18","KKL",23613,"PP184_KKL_TLH",-31.515009894532,-6.60445752425439,1,430.464,11.359,"PP184","TLH",NA,"living","huckleberry",5,"Kulla Kulla",1147.572,64.008,1390820,0,6195620.368,0,2158.049844,233661.9462,1.259396681,23.366195,9.653675,3.308035,41.31470699,14.15735425,35.6,"8/19/2018","9.4",12,0,12,1,"","11:07a-6:35p","6:35p-12:30p","","",25,23,1523,25.38333333,0.472751149,1147.572,"NULL",5,64.008,"YES",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.432065,-121.549001,3765,1147.572,59.53,24.09095758,210,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",136,"L2718",0.269936236969826,0.258168239608622,0.274477486063991,NA,16.78,2.53,17.84,2.68,0.22448438048004,0.22448438048004,"Kulla Kulla","Kulla Kulla","Kulla Kulla","Kulla Kulla",1083.3,42.6776099859065
"19","KKL",23631,"PP187_KKL_TDE",-29.0219420586095,-6.58745101064852,NA,464.078,7.522,"PP187","TDE","duo","duff","conifer",5,"Kulla Kulla",1147.572,64.008,1390820,0,6195620.368,0,2158.049844,233661.9462,1.259396681,23.366195,9.653675,3.308035,41.31470699,14.15735425,35.6,"8/19/2018","9.4",12,0,12,1,"","11:07a-6:35p","6:35p-12:30p","","",25,23,1523,25.38333333,0.472751149,1147.572,"NULL",5,64.008,"YES",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.432065,-121.549001,3765,1147.572,59.53,24.09095758,210,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",136,"L2718",0.269936236969826,0.258168239608622,0.274477486063991,NA,16.78,2.53,17.84,2.68,0.22448438048004,0.22448438048004,"Kulla Kulla","Kulla Kulla","Kulla Kulla","Kulla Kulla",1083.3,42.6776099859065
"20","LMA",23658,"PP198_LMA_TLE",-32.9052973094174,-11.6197132986129,NA,450.772,8.372,"PP198","TLE","duo","living","conifer",6,"Mason, Little",1298.448,7.1628,116697,0,61653.34721,0,573.026057,19812.1361,1.14842804,1.981214,1.981214,0.557452,100,28.13688981,100,"8/21/2018","max",6,0,6,1,"stickleback (dead)","3:45p-6:45p","6:45p-12:45p","","",21,NA,1260,21,0.285714286,1298.448,"NULL",5,7.1628,"N",3,NA,"NULL","","Yes","NULL","Mirror","Herbert","King",47.428436,-121.556983,4260,1298.448,5.45,2.2055387,23.5,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",137,"L2956",0.579608765363596,0.521127414277576,0.614866410796435,1.487,7.49,1.13,8.84,1.33,1.89279261031057,1.89279261031057,"Mason, Little","Mason, Little","Mason, Little","Mason, Little",1108.2,52.7714285714286
"21","LMA",23656,"PP197_LMA_TDH",-32.3955946094085,-2.5150437197516,0.996,429.027,10.901,"PP197","TDH",NA,"duff","huckleberry",6,"Mason, Little",1298.448,7.1628,116697,0,61653.34721,0,573.026057,19812.1361,1.14842804,1.981214,1.981214,0.557452,100,28.13688981,100,"8/21/2018","max",6,0,6,1,"stickleback (dead)","3:45p-6:45p","6:45p-12:45p","","",21,NA,1260,21,0.285714286,1298.448,"NULL",5,7.1628,"N",3,NA,"NULL","","Yes","NULL","Mirror","Herbert","King",47.428436,-121.556983,4260,1298.448,5.45,2.2055387,23.5,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",137,"L2956",0.579608765363596,0.521127414277576,0.614866410796435,1.487,7.49,1.13,8.84,1.33,1.89279261031057,1.89279261031057,"Mason, Little","Mason, Little","Mason, Little","Mason, Little",1108.2,52.7714285714286
"22","LMA",23687,"PP199_LMA_TDE",-28.4994412576518,-8.92077185435098,NA,464.977,10.108,"PP199","TDE","duo","duff","conifer",6,"Mason, Little",1298.448,7.1628,116697,0,61653.34721,0,573.026057,19812.1361,1.14842804,1.981214,1.981214,0.557452,100,28.13688981,100,"8/21/2018","max",6,0,6,1,"stickleback (dead)","3:45p-6:45p","6:45p-12:45p","","",21,NA,1260,21,0.285714286,1298.448,"NULL",5,7.1628,"N",3,NA,"NULL","","Yes","NULL","Mirror","Herbert","King",47.428436,-121.556983,4260,1298.448,5.45,2.2055387,23.5,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",137,"L2956",0.579608765363596,0.521127414277576,0.614866410796435,1.487,7.49,1.13,8.84,1.33,1.89279261031057,1.89279261031057,"Mason, Little","Mason, Little","Mason, Little","Mason, Little",1108.2,52.7714285714286
"23","LMA",23403,"PP196_LMA_TLH",-32.2946848236332,-4.62541805275136,1.014,433.471,16.791,"PP196","TLH",NA,"living","huckleberry",6,"Mason, Little",1298.448,7.1628,116697,0,61653.34721,0,573.026057,19812.1361,1.14842804,1.981214,1.981214,0.557452,100,28.13688981,100,"8/21/2018","max",6,0,6,1,"stickleback (dead)","3:45p-6:45p","6:45p-12:45p","","",21,NA,1260,21,0.285714286,1298.448,"NULL",5,7.1628,"N",3,NA,"NULL","","Yes","NULL","Mirror","Herbert","King",47.428436,-121.556983,4260,1298.448,5.45,2.2055387,23.5,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",137,"L2956",0.579608765363596,0.521127414277576,0.614866410796435,1.487,7.49,1.13,8.84,1.33,1.89279261031057,1.89279261031057,"Mason, Little","Mason, Little","Mason, Little","Mason, Little",1108.2,52.7714285714286
"24","LML",23621,"PP160_LML_TLH",-30.1853049056658,-2.14474942690468,1.018,444.451,14.934,"PP160","TLH",NA,"living","huckleberry",7,"Melakwa, Lower",1368.552,13.8684,1210213,872925,236204.1795,19206.7414,964.770028,38258.27563,1.39141338,3.825828,3.825828,2.160312,100,56.46652176,100,"8/10/2018","9",17,6,23,1,"","1:50p-3:45p","9:52a-2:15p","11:15a-4:20p","4:20p-1:25p",43,88,2668,44.46666667,0.517241379,1368.552,"NULL",4.25,13.8684,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.45001023,-121.4687958,4490,1368.552,9.1,3.6826426,45.5,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",133,"L3270",0.115015422303765,0.102783506577044,0.211657744997687,1.561,21.76,3.27,44.8,6.74,4.73829778200373,1.42795102404189,"Melakwa, Lower","Melakwa, Lower","Melakwa, Lower","Melakwa, Lower",5319.8,119.635682149952
"25","LML",23585,"PP161_LML_TDH",-30.4412823074022,-2.23078237808729,1.007,430.474,13.75,"PP161","TDH",NA,"duff","huckleberry",7,"Melakwa, Lower",1368.552,13.8684,1210213,872925,236204.1795,19206.7414,964.770028,38258.27563,1.39141338,3.825828,3.825828,2.160312,100,56.46652176,100,"8/10/2018","9",17,6,23,1,"","1:50p-3:45p","9:52a-2:15p","11:15a-4:20p","4:20p-1:25p",43,88,2668,44.46666667,0.517241379,1368.552,"NULL",4.25,13.8684,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.45001023,-121.4687958,4490,1368.552,9.1,3.6826426,45.5,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",133,"L3270",0.115015422303765,0.102783506577044,0.211657744997687,1.561,21.76,3.27,44.8,6.74,4.73829778200373,1.42795102404189,"Melakwa, Lower","Melakwa, Lower","Melakwa, Lower","Melakwa, Lower",5319.8,119.635682149952
"26","LML",23633,"PP162_LML_TLE",-29.2357177921749,-4.03547358661553,NA,430.844,10.645,"PP162","TLE","duo","living","conifer",7,"Melakwa, Lower",1368.552,13.8684,1210213,872925,236204.1795,19206.7414,964.770028,38258.27563,1.39141338,3.825828,3.825828,2.160312,100,56.46652176,100,"8/10/2018","9",17,6,23,1,"","1:50p-3:45p","9:52a-2:15p","11:15a-4:20p","4:20p-1:25p",43,88,2668,44.46666667,0.517241379,1368.552,"NULL",4.25,13.8684,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.45001023,-121.4687958,4490,1368.552,9.1,3.6826426,45.5,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",133,"L3270",0.115015422303765,0.102783506577044,0.211657744997687,1.561,21.76,3.27,44.8,6.74,4.73829778200373,1.42795102404189,"Melakwa, Lower","Melakwa, Lower","Melakwa, Lower","Melakwa, Lower",5319.8,119.635682149952
"27","LML",23670,"PP163_LML_TDE",-29.6567770194634,-4.81425330200146,NA,462.961,10.643,"PP163","TDE","duo","duff","conifer",7,"Melakwa, Lower",1368.552,13.8684,1210213,872925,236204.1795,19206.7414,964.770028,38258.27563,1.39141338,3.825828,3.825828,2.160312,100,56.46652176,100,"8/10/2018","9",17,6,23,1,"","1:50p-3:45p","9:52a-2:15p","11:15a-4:20p","4:20p-1:25p",43,88,2668,44.46666667,0.517241379,1368.552,"NULL",4.25,13.8684,"N",4,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.45001023,-121.4687958,4490,1368.552,9.1,3.6826426,45.5,"Mt. Baker-Snoqualmie National Forest","Alpine Lakes Wilderness",133,"L3270",0.115015422303765,0.102783506577044,0.211657744997687,1.561,21.76,3.27,44.8,6.74,4.73829778200373,1.42795102404189,"Melakwa, Lower","Melakwa, Lower","Melakwa, Lower","Melakwa, Lower",5319.8,119.635682149952
"28","LOG",18109,"PP37_LOG_TLH",-32.4884765915791,-1.11511063404317,1.011,347.747,9.824,"PP37","TLH",NA,"living","huckleberry",8,"Lodge",952.5,5.4864,993869,0,111281.0797,0,760.798722,38166.48244,1.098559982,3.816648,3.815289,0.569294,99.96439284,14.91607295,100,"9/2/2018","max",3,2,5,1,"","2:30p-6:45p","6:45p-11a","","",20,30,1230,20.5,0.243902439,952.5,"NULL",NA,5.4864,"N",2,NA,"NULL","","Yes","NULL","NULL","NULL","King",47.40931064,-121.4301937,3125,952.5,9.3,3.7635798,18,"Mt. Baker-Snoqualmie National Forest","NULL",101,"L2979",0.703669930456958,0.832979758371585,0.475893947383648,0.832,9.68,1.46,5.53,0.83,8.93115885179536,8.93115885179536,"Lodge","Lodge","Lodge","Lodge",2019.3,98.5024390243902
