"","Lake","Identifier.1","Analysis","Row","Comment","Area.44","d.13C.12C","Area.28","d.15N.14N","Identifier","drift.d13C_adj","GA1.temp","GA2.temp","slope.correction","intercept.correction","d13C_VPDB","d13C_drift.VPDB","d15N_air","d15N_air2","ProcessedOrder","DataSheetNum","People","FISH_ID","Length_mm","Depth_mm","Width_mm","TotalMass_g","VisceraMass_mg","StomContMass_mg","GonadMass_mg","Notes.and.observations...visible.eggs.","CORRECTEDDepth_mm","CORRECTEDWidth_mm","Date","Pull","FreezeDried","Groud","Packed...Tray","Packed...Mass","Packed...Date","X","lakeabv","elev_m","maxdepth_m","WatershedAreaTotal_m2","WatershedAreaofupstreamlakes_m2","Lake_Volume_m3","AddtionalUpstreamVolume_m3","PerimeterLength_m","Area_m2","SDI","Area_ha","IlluminatedBottom_morethan1_ha","MostLightLittoral_morethan50_ha","PerLit_1percentlight","PerLit_50percentofLight","X.Littoral.at.15m","Date.Started","Secchi_m","Rainbow.Trout","Brown.Trout","Total.Fish","Overnight","Notes","Set1","Set2","Set.3","Set4","Hours.net.wet","Minutes","Total.minutes","Total.hours..decimal.","CPUE","X.Elevation_m","Repro","Miles.from.Trailhead","Depth_m","USGS_ReconAlpineLakesReport","Bins","AvgDepth_m","Percent_Littoral","EB","CurrentlyStocked","Has.Natural.Repro","Name_2","Name_3","County","Latitude","Longitude","Elevation_ft","Elevation_m","SizeAcres","Hectares_convertion","Depth_ft","Jurisdiction","Wilderness","CID","GeometryID","kd","kd.below1m","kd.2pt","wateradj","onepercent.kd.2pt","fiftypercent.kd.2pt","onepercent.kd.below1m","fiftypercent.kd.below1m","Totm2overTotm3","Subm2overSubm3","ordered.lit","ordered.depth","ordered.elv","ordered.CPUE","tot.biomass","BMPU","species"
"11","Annette","ANN_RBT_17",18049,34,0.336,118.605,-20.872,19.77,5.745,"ANN_RBT_17",-21.160035274492,-17.8601301155787,-2.93118157213879,0.977965725952985,-10.8334048859033,-31.245505517994,-31.5271941443126,5.6161463359611,5.57864285714286,17,1,"RS;HR;KL","ANN-RBT-17",173.5,35.4,15.8,55,4406,"740",NA,"",37.9,18.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"12","Annette","ANN_RBT_05",16702,55,0.331,133.141,-16.656,25.957,6.59,"ANN_RBT_05",-18.0363838308578,-17.8141337793121,-2.16792888709015,0.933133632121741,-11.6770326434079,-27.2193064200276,-28.5073889978381,6.02855542719079,6.03663333333333,4,0,"RS; HR","ANN-RBT-05",208,36.6,23.1,86,NA,NA,NA,"F? immature eggs?",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"13","Annette","ANN_RBT_06",16670,23,0.339,132.312,-18.006,27.723,6.873,"ANN_RBT_06",-18.5832514201769,-17.8043849982484,-2.15902049382606,0.933183755218558,-11.6852371479776,-28.4881438444429,-29.0268254924288,6.31069076536028,6.31963333333333,6,1,"RS;HR;KL","ANN-RBT-06",149.1,30.7,16.1,31.4,32.75,"10.21",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"14","Annette","ANN_RBT_20",18024,9,0.342,117.63,-17.735,24.655,6.972,"ANN_RBT_20",-17.8112446314832,-17.8497286411566,-2.92438530733938,0.978201953111522,-10.83936058071,-28.1877722191428,-28.262354866574,6.83613906678866,6.80564285714286,20,1,"RS;HR;KL","ANN-RBT-20",152,28.8,12.2,32.6,2675,"314",NA,"",31.3,14.7,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"15","Annette","ANN_RBT_21",18038,23,0.336,111.788,-17.495,23.941,5.982,"ANN_RBT_21",-17.6898473915681,-17.7874051400547,-2.88366348276693,0.979619771714223,-10.8751062373112,-28.0135541434516,-28.2044305006986,5.85179285365151,5.81564285714286,21,1,"RS;HR;KL","ANN-RBT-21",170,30.8,14.8,45.9,2736,"551",NA,"",33.3,17.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"16","Annette","ANN_RBT_09",16683,36,0.337,132.339,-16.531,26.937,6.452,"ANN_RBT_09",-17.434523962016,-17.804702509815,-2.15931063449932,0.933182122656507,-11.6849699186232,-27.1114035882579,-27.954555997003,5.89097706440849,5.89863333333333,9,1,"RS;HR;KL","ANN-RBT-09",130.2,26.8,14.3,21,1902,"174",NA,"",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"17","Annette","ANN_RBT_10",16664,17,0.343,140.604,-23.807,25.831,6.18,"ANN_RBT_10",-24.2336640931742,-17.90189632826,-2.24812591836863,0.932682645631143,-11.603211970744,-33.8075877152846,-34.2055299105021,5.61980811747527,5.62663333333333,10,1,"RS;HR;KL","ANN-RBT-10",191,41.6,23.8,74.9,6160,"614",NA,"air bladder still attached, stomach content primarily from intestines (aka waste)",NA,NA,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"18","Annette","ANN_RBT_24",16541,50,0.345,135.856,-15.687,27.896,7.049,"ANN_RBT_24",-15.8545320742265,-17.8604634807689,-2.74983905840571,0.96620758956807,-11.0430846316777,-26.199983089232,-26.3618538508457,6.58117165301688,6.60776190476191,24,1,"RS;HR;KL","ANN-RBT-24",143.2,27.2,11.5,29,2658,"298",NA,"",29.7,14,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"19","Annette","ANN_RBT_25",18031,16,0.35,122.753,-22.25,23.589,5.547,"ANN_RBT_25",-22.3855460115256,-17.9043817216332,-2.96009532228028,0.97696200473193,-10.8080993397474,-32.5455039450329,-32.6779272481864,5.41927709333367,5.38064285714286,25,1,"RS;HR;KL","ANN-RBT-25",125.5,25.2,10.8,23.3,1917,"24",NA,"",27.7,13.3,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"20","Annette","ANN_RBT_26",18039,24,0.35,114.797,-16.002,24.091,6.107,"ANN_RBT_26",-16.2053190172884,-17.8195056903483,-2.9046378015171,0.978888992435057,-10.8566820290841,-26.5208636860299,-26.7198904340062,5.97607899167387,5.94064285714286,26,1,"RS;HR;KL","ANN-RBT-26",157.5,29.5,12.5,36.6,3885,"293",NA,"",32,15,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
"21","Annette","ANN_RBT_27",18044,29,0.333,116.391,-22.061,20.349,5.479,"ANN_RBT_27",-22.3066771458902,-17.8365107675062,-2.91574882314814,0.978502308021918,-10.8469330469374,-32.4336724642089,-32.6740681184907,5.3516654342495,5.31264285714286,27,1,"RS;HR;KL","ANN-RBT-27",127.5,25.5,12.5,23.3,2251,"319",NA,"egg-like orange developing gonads",28,15,"","",NA,NA,NA,NA,NA,1,"ANN",1103.376,25.908,1223151.254,0,780443.6107,0,1140.95574,76054.01667,1.167085807,7.605402,7.605402,2.550147,100,33.5307325,70.1,"8/29/2018","8.3",43,0,43,1,"2 salamander in gillnet (alive and released)","2:00p-7:30p","7:30p-9:30a","","",19,30,1170,19.5,2.205128205,1103.376,"Yes",NA,25.908,"N",4,NA,"NULL","","No","NULL","NULL","NULL","King",47.35891021,-121.4742939,3620,1103.376,20.2,8.1746572,85,"Mt. Baker-Snoqualmie National Forest","NULL",98,"L44701",0.177297146083773,0.171400686695528,0.191018851759778,0.859,24.11,3.63,26.87,4.04,1.56725128789628,1.56725128789628,"Annette","Annette","Annette","Annette",3472,178.051282051282,"rainbow"
